n,W,V,instance,strategy,max_value,time,memory_kb
16,320,320,11,BT,745.0,0.00460575,3972.0
16,320,320,11,BB,745.0,6.137e-06,4000.0
16,320,320,11,DP,745.0,0.00330723,10404.0
16,320,320,12,BT,639.0,0.00447228,4040.0
16,320,320,12,BB,639.0,6.262e-06,4060.0
16,320,320,12,DP,639.0,0.00350758,10124.0
16,320,320,13,BT,672.0,0.00480204,4028.0
16,320,320,13,BB,672.0,6.414e-06,4052.0
16,320,320,13,DP,672.0,0.00328867,10116.0
16,320,320,14,BT,773.0,0.00449381,3976.0
16,320,320,14,BB,773.0,6.812e-06,4064.0
16,320,320,14,DP,773.0,0.00318894,10292.0
16,320,320,15,BT,702.0,0.00445364,3988.0
16,320,320,15,BB,702.0,5.739e-06,4064.0
16,320,320,15,DP,702.0,0.00331874,10232.0
16,320,320,16,BT,838.0,0.00492241,3996.0
16,320,320,16,BB,838.0,6.088e-06,4064.0
16,320,320,16,DP,838.0,0.00335918,10156.0
16,320,320,17,BT,620.0,0.00467613,3968.0
16,320,320,17,BB,612.0,6.299e-06,4088.0
16,320,320,17,DP,620.0,0.00353927,10220.0
16,320,320,18,BT,661.0,0.00449634,4000.0
16,320,320,18,BB,661.0,6.127e-06,4048.0
16,320,320,18,DP,661.0,0.00331765,10156.0
16,320,320,19,BT,776.0,0.00439688,3968.0
16,320,320,19,BB,776.0,6.003e-06,4152.0
16,320,320,19,DP,776.0,0.00551332,10220.0
16,320,320,20,BT,815.0,0.00472388,4032.0
16,320,320,20,BB,815.0,6.652e-06,4048.0
16,320,320,20,DP,815.0,0.0033595,10148.0
16,320,320,21,BT,972.0,0.00514441,3972.0
16,320,320,21,BB,972.0,5.888e-06,4052.0
16,320,320,21,DP,972.0,0.00363277,10140.0
16,320,320,22,BT,814.0,0.00462398,4060.0
16,320,320,22,BB,814.0,1.1936e-05,4056.0
16,320,320,22,DP,814.0,0.00349476,10144.0
16,320,320,23,BT,530.0,0.00425243,4060.0
16,320,320,23,BB,530.0,8.979e-06,4048.0
16,320,320,23,DP,530.0,0.00355901,10148.0
16,320,320,24,BT,719.0,0.00449509,4044.0
16,320,320,24,BB,710.0,8.194e-06,4068.0
16,320,320,24,DP,719.0,0.00345369,10136.0
16,320,320,25,BT,945.0,0.00455679,4048.0
16,320,320,25,BB,945.0,5.983e-06,4092.0
16,320,320,25,DP,945.0,0.00345347,10212.0
16,320,320,26,BT,664.0,0.0044987,4048.0
16,320,320,26,BB,664.0,8.023e-06,4060.0
16,320,320,26,DP,664.0,0.00351303,10200.0
16,320,320,27,BT,891.0,0.00465867,3972.0
16,320,320,27,BB,891.0,5.924e-06,4040.0
16,320,320,27,DP,891.0,0.0033945,10188.0
16,320,320,28,BT,784.0,0.00469333,3972.0
16,320,320,28,BB,781.0,6.108e-06,4068.0
16,320,320,28,DP,784.0,0.00408535,10140.0
16,320,320,29,BT,926.0,0.00455945,4044.0
16,320,320,29,BB,926.0,6.452e-06,4052.0
16,320,320,29,DP,926.0,0.00365331,10124.0
20,400,400,0,BT,819.0,0.0829659,4084.0
20,400,400,0,BB,819.0,7.795e-06,3980.0
20,400,400,0,DP,819.0,0.00708333,16784.0
20,400,400,1,BT,834.0,0.0808529,4048.0
20,400,400,1,BB,831.0,7.838e-06,4040.0
20,400,400,1,DP,834.0,0.00733304,16800.0
20,400,400,2,BT,1226.0,0.0856139,4064.0
20,400,400,2,BB,1226.0,7.364e-06,4040.0
20,400,400,2,DP,1226.0,0.00731211,17000.0
20,400,400,3,BT,1099.0,0.0859539,4044.0
20,400,400,3,BB,1099.0,8.627e-06,3984.0
20,400,400,3,DP,1099.0,0.00692466,17000.0
20,400,400,4,BT,740.0,0.0842261,3972.0
20,400,400,4,BB,740.0,7.402e-06,4152.0
20,400,400,4,DP,740.0,0.00671269,16748.0
20,400,400,5,BT,987.0,0.0758429,4052.0
20,400,400,5,BB,987.0,7.945e-06,4056.0
20,400,400,5,DP,987.0,0.00723161,16740.0
20,400,400,6,BT,847.0,0.0817756,4040.0
20,400,400,6,BB,847.0,6.729e-06,4040.0
20,400,400,6,DP,847.0,0.00831912,16824.0
20,400,400,7,BT,921.0,0.0818776,3968.0
20,400,400,7,BB,915.0,8.786e-06,4036.0
20,400,400,7,DP,921.0,0.00688645,17000.0
20,400,400,8,BT,953.0,0.0811469,4084.0
20,400,400,8,BB,952.0,8.375e-06,4152.0
20,400,400,8,DP,953.0,0.00697254,16752.0
20,400,400,9,BT,781.0,0.0794341,4016.0
20,400,400,9,BB,781.0,6.147e-06,3972.0
20,400,400,9,DP,781.0,0.00724466,16804.0
20,400,400,10,BT,838.0,0.0734581,3976.0
20,400,400,10,BB,838.0,7.243e-06,4052.0
20,400,400,10,DP,838.0,0.0082512,16696.0
20,400,400,11,BT,1098.0,0.0839505,4060.0
20,400,400,11,BB,1098.0,7.244e-06,3984.0
20,400,400,11,DP,1098.0,0.00674164,16760.0
20,400,400,12,BT,833.0,0.083654,3972.0
20,400,400,12,BB,833.0,7.546e-06,4008.0
20,400,400,12,DP,833.0,0.00688942,16744.0
20,400,400,13,BT,696.0,0.0758204,3996.0
20,400,400,13,BB,696.0,9.052e-06,4064.0
20,400,400,13,DP,696.0,0.00756246,16836.0
20,400,400,14,BT,837.0,0.0830105,4144.0
20,400,400,14,BB,837.0,9.072e-06,4052.0
20,400,400,14,DP,837.0,0.00672135,16748.0
20,400,400,15,BT,1014.0,0.0788376,4060.0
20,400,400,15,BB,1014.0,7.087e-06,4000.0
20,400,400,15,DP,1014.0,0.00671846,16816.0
20,400,400,16,BT,1131.0,0.0858144,3996.0
20,400,400,16,BB,1131.0,7.834e-06,4004.0
20,400,400,16,DP,1131.0,0.00714246,16736.0
20,400,400,17,BT,1240.0,0.0827208,4088.0
20,400,400,17,BB,1240.0,7.558e-06,4068.0
20,400,400,17,DP,1240.0,0.006645,16800.0
20,400,400,18,BT,746.0,0.0778547,3968.0
20,400,400,18,BB,731.0,6.858e-06,4060.0
20,400,400,18,DP,746.0,0.00688622,16724.0
20,400,400,19,BT,932.0,0.08315,3972.0
20,400,400,19,BB,932.0,9.134e-06,4056.0
20,400,400,19,DP,932.0,0.0070951,16784.0
20,400,400,20,BT,890.0,0.0805039,3976.0
20,400,400,20,BB,889.0,7.186e-06,4040.0
20,400,400,20,DP,890.0,0.00662843,16756.0
20,400,400,21,BT,918.0,0.0821199,4060.0
20,400,400,21,BB,918.0,7.655e-06,4000.0
20,400,400,21,DP,918.0,0.00737271,16748.0
20,400,400,22,BT,833.0,0.0789513,4060.0
20,400,400,22,BB,833.0,7.098e-06,4000.0
20,400,400,22,DP,833.0,0.00689806,16748.0
20,400,400,23,BT,860.0,0.0829052,4052.0
20,400,400,23,BB,860.0,6.826e-06,4148.0
20,400,400,23,DP,860.0,0.00704132,16772.0
20,400,400,24,BT,858.0,0.0739683,4148.0
20,400,400,24,BB,858.0,6.747e-06,4000.0
20,400,400,24,DP,858.0,0.00691314,16732.0
20,400,400,25,BT,844.0,0.0774613,3992.0
20,400,400,25,BB,844.0,6.443e-06,4036.0
20,400,400,25,DP,844.0,0.00695267,16888.0
20,400,400,26,BT,887.0,0.0885192,4144.0
20,400,400,26,BB,887.0,7.597e-06,3984.0
20,400,400,26,DP,887.0,0.00670184,16816.0
20,400,400,27,BT,820.0,0.072075,4148.0
20,400,400,27,BB,820.0,7.796e-06,4020.0
20,400,400,27,DP,820.0,0.00677904,16816.0
20,400,400,28,BT,1094.0,0.0846258,3996.0
20,400,400,28,BB,1094.0,8.058e-06,4152.0
20,400,400,28,DP,1094.0,0.00695978,16804.0
20,400,400,29,BT,1052.0,0.0783273,3996.0
20,400,400,29,BB,1052.0,8.337e-06,4068.0
20,400,400,29,DP,1052.0,0.00699315,16756.0
24,480,480,0,BT,733.0,1.44776,4088.0
24,480,480,0,BB,733.0,8.496e-06,4092.0
24,480,480,0,DP,733.0,0.0148655,25976.0
24,480,480,1,BT,1181.0,1.55227,4144.0
24,480,480,1,BB,1181.0,8.785e-06,3984.0
24,480,480,1,DP,1181.0,0.0129931,25984.0
24,480,480,2,BT,1190.0,1.56006,4048.0
24,480,480,2,BB,1189.0,1.1519e-05,4152.0
24,480,480,2,DP,1190.0,0.0142295,26508.0
24,480,480,3,BT,946.0,1.60252,4048.0
24,480,480,3,BB,946.0,7.297e-06,4092.0
24,480,480,3,DP,946.0,0.0123744,26056.0
24,480,480,4,BT,1029.0,1.5063,4036.0
24,480,480,4,BB,1021.0,8.386e-06,3980.0
24,480,480,4,DP,1029.0,0.0122709,25932.0
24,480,480,5,BT,1197.0,1.52002,4036.0
24,480,480,5,BB,1197.0,9.719e-06,4056.0
24,480,480,5,DP,1197.0,0.0132056,26060.0
24,480,480,6,BT,960.0,1.64884,3996.0
24,480,480,6,BB,960.0,8.284e-06,4048.0
24,480,480,6,DP,960.0,0.0140694,26072.0
24,480,480,7,BT,1263.0,1.65934,4056.0
24,480,480,7,BB,1263.0,9.975e-06,4036.0
24,480,480,7,DP,1263.0,0.0136462,26396.0
24,480,480,8,BT,848.0,1.77168,3960.0
24,480,480,8,BB,848.0,1.0103e-05,4060.0
24,480,480,8,DP,848.0,0.0135235,26024.0
24,480,480,9,BT,1375.0,1.62931,3996.0
24,480,480,9,BB,1355.0,9.329e-06,3980.0
24,480,480,9,DP,1375.0,0.0139909,26016.0
24,480,480,10,BT,1162.0,1.73024,4056.0
24,480,480,10,BB,1162.0,2.7115e-05,4048.0
24,480,480,10,DP,1162.0,0.0158966,26060.0
24,480,480,11,BT,1089.0,0.328566,3972.0
24,480,480,11,BB,1089.0,8.286e-06,4056.0
24,480,480,11,DP,1089.0,0.0131802,25964.0
24,480,480,12,BT,998.0,1.49644,4052.0
24,480,480,12,BB,998.0,2.0843e-05,4004.0
24,480,480,12,DP,998.0,0.0141639,25996.0
24,480,480,13,BT,937.0,1.49807,4016.0
24,480,480,13,BB,937.0,9.272e-06,4072.0
24,480,480,13,DP,937.0,0.0147331,26020.0
24,480,480,14,BT,1142.0,1.5765,3964.0
24,480,480,14,BB,1142.0,9.691e-06,4152.0
24,480,480,14,DP,1142.0,0.0129666,25980.0
24,480,480,15,BT,1238.0,1.57419,4052.0
24,480,480,15,BB,1238.0,8.934e-06,4056.0
24,480,480,15,DP,1238.0,0.0150891,26060.0
24,480,480,16,BT,1190.0,1.58915,4084.0
24,480,480,16,BB,1190.0,1.1968e-05,4036.0
24,480,480,16,DP,1190.0,0.0157965,26052.0
24,480,480,17,BT,913.0,1.53115,4060.0
24,480,480,17,BB,913.0,1.0837e-05,4068.0
24,480,480,17,DP,913.0,0.0127069,25968.0
24,480,480,18,BT,1271.0,1.58606,4148.0
24,480,480,18,BB,1271.0,9.098e-06,4020.0
24,480,480,18,DP,1271.0,0.0130913,26056.0
24,480,480,19,BT,1211.0,1.58604,4088.0
24,480,480,19,BB,1211.0,9.013e-06,4068.0
24,480,480,19,DP,1211.0,0.0135471,26056.0
24,480,480,20,BT,1140.0,1.47201,4048.0
24,480,480,20,BB,1140.0,9.018e-06,4060.0
24,480,480,20,DP,1140.0,0.0133243,26392.0
24,480,480,21,BT,1158.0,1.52981,3968.0
24,480,480,21,BB,1158.0,8.822e-06,3980.0
24,480,480,21,DP,1158.0,0.0127838,26040.0
24,480,480,22,BT,1052.0,1.60587,4044.0
24,480,480,22,BB,1052.0,9.199e-06,4092.0
24,480,480,22,DP,1052.0,0.013006,26028.0
24,480,480,23,BT,896.0,1.58335,4052.0
